,,First Name,Last Name,Team,Bye,Points,Completions,Pass Attempts,Pass Yards,Pass TDs,Rush Yards,Rush TDs,Rush Attempts,Receptions,Rec Yards,Rec TDs,FG Made,FG Att,FG %,XP Made,Sacks,INTs,Fumbles Rec,Safeties,Def TDs,Pts Against
WR,57,Christian,Watson,GB,10,148.6,,,,,17,0,2,45,659,6,,,,,,,,,,
WR,58,Brian,Thomas,JAC,12,147.7,,,,,0,0,0,55,687,4,,,,,,,,,,
WR,59,Kendrick,Bourne,NE,14,146.7,,,,,0,0,0,57,657,4,,,,,,,,,,
WR,60,Xavier,Worthy,KC,6,146.3,,,,,35,0,5,49,698,4,,,,,,,,,,
WR,61,Darnell,Mooney,ATL,12,143.2,,,,,0,0,0,52,732,3,,,,,,,,,,
WR,62,Gabe,Davis,JAC,12,139.5,,,,,0,0,0,48,675,4,,,,,,,,,,
WR,63,JaLynn,Polk,NE,14,134.5,,,,,0,0,0,52,645,3,,,,,,,,,,
WR,64,Demarcus,Robinson,LAR,6,129.4,,,,,0,0,0,48,634,3,,,,,,,,,,
WR,65,Josh,Downs,IND,14,128.2,,,,,0,0,0,52,582,3,,,,,,,,,,
WR,66,WanDale,Robinson,NYG,11,127.9,,,,,56,0,7,58,523,2,,,,,,,,,,
WR,67,Marvin,Mims,DEN,14,127.7,,,,,42,1,6,39,605,3,,,,,,,,,,
WR,68,Mike,Williams,NYJ,12,122.6,,,,,0,0,0,42,566,4,,,,,,,,,,
WR,69,Michael,Wilson,ARI,11,122.3,,,,,0,0,0,44,603,3,,,,,,,,,,
WR,70,Elijah,Moore,CLE,10,117.7,,,,,0,0,0,47,527,3,,,,,,,,,,
WR,71,Darius,Slayton,NYG,11,115.6,,,,,0,0,0,39,586,3,,,,,,,,,,
WR,72,Khalil,Shakir,BUF,12,115.1,,,,,0,0,0,39,581,3,,,,,,,,,,
WR,73,Quentin,Johnston,LAC,5,114.9,,,,,0,0,0,43,539,3,,,,,,,,,,
WR,74,Rashod,Bateman,BAL,14,114.5,,,,,0,0,0,43,535,3,,,,,,,,,,
WR,75,Jalen,Tolbert,DAL,7,111.3,,,,,0,0,0,41,523,3,,,,,,,,,,
WR,76,D.J.,Chark,LAC,5,106.5,,,,,0,0,0,37,515,3,,,,,,,,,,
WR,77,Adonai,Mitchell,IND,14,103.8,,,,,0,0,0,37,488,3,,,,,,,,,,
WR,78,Dontayvion,Wicks,GB,10,101.8,,,,,0,0,0,35,488,3,,,,,,,,,,
WR,79,Jermaine,Burton,CIN,12,99.7,,,,,0,0,0,35,467,3,,,,,,,,,,
WR,80,Tyler,Boyd,TEN,5,99.5,,,,,0,0,0,38,435,3,,,,,,,,,,
WR,81,Xavier,Legette,CAR,11,98.5,,,,,0,0,0,38,485,2,,,,,,,,,,
WR,82,Odell,Beckham,MIA,6,97.6,,,,,0,0,0,35,446,3,,,,,,,,,,
WR,83,Josh,Reynolds,DEN,14,90.5,,,,,0,0,0,33,455,2,,,,,,,,,,
WR,84,Zay,Jones,ARI,11,84.8,,,,,0,0,0,32,408,2,,,,,,,,,,
WR,85,Ricky,Pearsall,SF,9,81.1,,,,,0,0,0,28,351,3,,,,,,,,,,
WR,86,Jamison,Crowder,WAS,14,80.5,,,,,0,0,0,37,375,1,,,,,,,,,,
WR,87,Greg,Dortch,ARI,11,78.4,,,,,13,0,2,32,331,2,,,,,,,,,,
WR,88,Ray-Ray,McCloud,ATL,12,77.5,,,,,0,0,0,30,355,2,,,,,,,,,,
WR,89,Xavier,Gipson,NYJ,12,77.5,,,,,0,0,0,31,345,2,,,,,,,,,,
WR,90,Mack,Hollins,BUF,12,76.5,,,,,0,0,0,30,345,2,,,,,,,,,,
WR,91,Jalen,McMillan,TB,11,75.9,,,,,0,0,0,26,379,2,,,,,,,,,,
WR,92,Trey,Palmer,TB,11,74.7,,,,,0,0,0,29,337,2,,,,,,,,,,
WR,93,Kalif,Raymond,DET,5,74.6,,,,,0,0,0,27,356,2,,,,,,,,,,
WR,94,Roman,Wilson,PIT,9,74.1,,,,,0,0,0,28,341,2,,,,,,,,,,
WR,95,Malachi,Corley,NYJ,12,73.9,,,,,46,0,7,27,303,2,,,,,,,,,,
WR,96,Tre,Tucker,LV,10,73.9,,,,,0,0,0,27,349,2,,,,,,,,,,
WR,97,Nelson,Agholor,BAL,14,73.3,,,,,0,0,0,28,333,2,,,,,,,,,,
WR,98,Calvin,Austin,PIT,9,72,,,,,51,0,7,25,299,2,,,,,,,,,,
WR,99,Jalin,Hyatt,NYG,11,70.2,,,,,0,0,0,23,352,2,,,,,,,,,,
WR,100,Noah,Brown,HOU,14,68.1,,,,,0,0,0,24,321,2,,,,,,,,,,
WR,101,Van,Jefferson,PIT,9,65.1,,,,,0,0,0,23,301,2,,,,,,,,,,
WR,102,JuJu,Smith-Schuster,NE,14,63.7,,,,,0,0,0,25,267,2,,,,,,,,,,
WR,103,Andrei,Iosivas,CIN,12,61.7,,,,,0,0,0,22,277,2,,,,,,,,,,
