,,First Name,Last Name,Team,GP,Points,Comp,Pass Attempts,Pass Yards,Pass TDs,Rush Yards,Rush TDs,Rush Attempts,Targets,Rec Yards,Rec TDs,Receptions,FG Made,FG Att,FG %,XP Made,Sacks,INTs,Fumbles Rec,Safeties,Def TDs,Pts Against
RB,15,Jerome,Ford,CLE,17,211.2,,,,,813,4,204,63,319,5,44,,,,,,,,,,
RB,16,David,Montgomery,DET,14,207.2,,,,,1015,13,219,24,117,0,16,,,,,,,,,,
RB,17,James,Conner,ARI,13,201.5,,,,,1040,7,208,33,165,2,27,,,,,,,,,,
RB,18,DAndre,Swift,PHI,16,201.3,,,,,1049,5,229,49,214,1,39,,,,,,,,,,
RB,19,Jaylen,Warren,PIT,17,200.4,,,,,784,4,149,74,370,0,61,,,,,,,,,,
RB,20,Brian,Robinson,WAS,15,200.1,,,,,733,5,178,43,368,4,36,,,,,,,,,,
RB,21,Kenneth,Walker,SEA,15,199.4,,,,,905,8,219,37,259,1,29,,,,,,,,,,
RB,22,Najee,Harris,PIT,17,197.5,,,,,1035,8,255,38,170,0,29,,,,,,,,,,
RB,23,Austin,Ekeler,LAC,14,193.4,,,,,628,5,179,74,436,1,51,,,,,,,,,,
RB,24,DeVon,Achane,MIA,11,192.7,,,,,800,8,103,37,197,3,27,,,,,,,,,,
RB,25,Gus,Edwards,BAL,17,189,,,,,810,13,198,13,180,0,12,,,,,,,,,,
RB,26,Josh,Jacobs,LV,13,183.1,,,,,805,6,233,54,296,0,37,,,,,,,,,,
RB,27,Chuba,Hubbard,CAR,17,182.5,,,,,902,5,238,44,233,0,39,,,,,,,,,,
RB,28,Javonte,Williams,DEN,16,177.2,,,,,774,3,217,58,228,2,47,,,,,,,,,,
RB,29,Ezekiel,Elliott,NE,17,176.5,,,,,642,3,184,65,313,2,51,,,,,,,,,,
RB,30,Zack,Moss,IND,14,167.6,,,,,794,5,183,37,192,2,27,,,,,,,,,,
RB,31,Devin,Singletary,HOU,17,163.1,,,,,898,4,216,38,193,0,30,,,,,,,,,,
RB,32,Jonathan,Taylor,IND,10,156.4,,,,,741,7,169,23,153,1,19,,,,,,,,,,
RB,33,Tyjae,Spears,TEN,17,153.8,,,,,453,2,100,70,385,1,52,,,,,,,,,,
RB,34,Rhamondre,Stevenson,NE,12,147.7,,,,,619,4,156,51,238,0,38,,,,,,,,,,
RB,35,Alexander,Mattison,MIN,16,137.2,,,,,700,0,180,44,192,3,30,,,,,,,,,,
RB,36,Aaron,Jones,GB,11,136.9,,,,,656,2,142,43,233,1,30,,,,,,,,,,
RB,37,Tyler,Allgeier,ATL,17,135.6,,,,,683,4,186,23,193,1,18,,,,,,,,,,
RB,38,Antonio,Gibson,WAS,16,131.4,,,,,265,1,65,59,389,2,48,,,,,,,,,,
RB,39,Samaje,Perine,DEN,17,125.3,,,,,238,1,53,56,455,0,50,,,,,,,,,,
RB,40,Kareem,Hunt,CLE,15,118.5,,,,,411,9,135,21,84,0,15,,,,,,,,,,
RB,41,AJ,Dillon,GB,15,117.6,,,,,613,2,178,28,223,0,22,,,,,,,,,,
RB,42,Khalil,Herbert,CHI,12,112.5,,,,,611,2,132,31,134,1,20,,,,,,,,,,
RB,43,Justice,Hill,BAL,16,111.3,,,,,387,3,84,39,206,1,28,,,,,,,,,,
RB,44,Zach,Charbonnet,SEA,16,106.1,,,,,462,1,108,40,209,0,33,,,,,,,,,,
