,,First Name,Last Name,Team,Bye,Points,Completions,Pass Attempts,Pass Yards,Pass TDs,Rush Yards,Rush TDs,Rush Attempts,Receptions,Rec Yards,Rec TDs,FG Made,FG Att,FG %,XP Made,Sacks,INTs,Fumbles Rec,Safeties,Def TDs,Pts Against
WR,36,Jordan,Addison,MIN,6,188.5,,,,,0,0.0,0.0,67.0,855,6.0,,,,,,,,,,
WR,37,DeAndre,Hopkins,TEN,5,185.5,,,,,0,0.0,0.0,68.0,875,5.0,,,,,,,,,,
WR,38,Tyler,Lockett,SEA,10,184.7,,,,,0,0.0,0.0,71.0,837,5.0,,,,,,,,,,
WR,39,Keenan,Allen,CHI,7,182.5,,,,,0,0.0,0.0,71.0,815,5.0,,,,,,,,,,
WR,40,Courtland,Sutton,DEN,14,176.5,,,,,0,0.0,0.0,61.0,795,6.0,,,,,,,,,,
WR,41,Brandin,Cooks,DAL,7,171.7,,,,,0,0.0,0.0,61.0,747,6.0,,,,,,,,,,
WR,42,Jaxon,Smith-Njigba,SEA,10,170.7,,,,,0,0.0,0.0,67.0,737,5.0,,,,,,,,,,
WR,43,Rashee,Rice,KC,6,164.4,,,,,0,0.0,0.0,57.0,714,6.0,,,,,,,,,,
WR,44,Jameson,Williams,DET,5,164.3,,,,,58,1.0,7.0,54.0,745,4.0,,,,,,,,,,
WR,45,Josh,Palmer,LAC,5,164.3,,,,,0,0.0,0.0,58.0,763,5.0,,,,,,,,,,
WR,46,Jakobi,Meyers,LV,10,162.3,,,,,0,0.0,0.0,61.0,713,5.0,,,,,,,,,,
WR,47,Ladd,McConkey,LAC,5,162.2,,,,,0,0.0,0.0,62.0,762,4.0,,,,,,,,,,
WR,48,Rome,Odunze,CHI,7,161.6,,,,,0,0.0,0.0,59.0,786,4.0,,,,,,,,,,
WR,49,Curtis,Samuel,BUF,12,160.0,,,,,51,0.0,9.0,63.0,679,4.0,,,,,,,,,,
WR,50,Jerry,Jeudy,CLE,10,158.4,,,,,0,0.0,0.0,59.0,754,4.0,,,,,,,,,,
WR,51,Rashid,Shaheed,NO,12,158.2,,,,,44,0.0,6.0,53.0,768,4.0,,,,,,,,,,
WR,52,Adam,Thielen,CAR,11,154.6,,,,,0,0.0,0.0,62.0,686,4.0,,,,,,,,,,
WR,53,Demario,Douglas,NE,14,153.9,,,,,37,0.0,6.0,60.0,722,3.0,,,,,,,,,,
WR,54,Keon,Coleman,BUF,12,153.5,,,,,0,0.0,0.0,55.0,745,4.0,,,,,,,,,,
WR,55,Jahan,Dotson,WAS,14,152.9,,,,,0,0.0,0.0,57.0,719,4.0,,,,,,,,,,
WR,56,Romeo,Doubs,GB,10,152.4,,,,,0,0.0,0.0,57.0,654,5.0,,,,,,,,,,
WR,57,Christian,Watson,GB,10,148.6,,,,,17,0.0,2.0,45.0,659,6.0,,,,,,,,,,
WR,58,Brian,Thomas,JAC,12,147.7,,,,,0,0.0,0.0,55.0,687,4.0,,,,,,,,,,
WR,59,Kendrick,Bourne,NE,14,146.7,,,,,0,0.0,0.0,57.0,657,4.0,,,,,,,,,,
WR,60,Xavier,Worthy,KC,6,146.3,,,,,35,0.0,5.0,49.0,698,4.0,,,,,,,,,,
WR,61,Darnell,Mooney,ATL,12,143.2,,,,,0,0.0,0.0,52.0,732,3.0,,,,,,,,,,
WR,62,Gabe,Davis,JAC,12,139.5,,,,,0,0.0,0.0,48.0,675,4.0,,,,,,,,,,
WR,63,JaLynn,Polk,NE,14,134.5,,,,,0,0.0,0.0,52.0,645,3.0,,,,,,,,,,
WR,64,Demarcus,Robinson,LAR,6,129.4,,,,,0,0.0,0.0,48.0,634,3.0,,,,,,,,,,
WR,65,Josh,Downs,IND,14,128.2,,,,,0,0.0,0.0,52.0,582,3.0,,,,,,,,,,
WR,66,WanDale,Robinson,NYG,11,127.9,,,,,56,0.0,7.0,58.0,523,2.0,,,,,,,,,,
